name,fixed,values
Q11【回答対象：上記設問で「その他、オープンデータを活用した事例がある」を選択した場合のみ】その具体的な内容をお答えください。事例を掲載したURL等でも構いません。,"false",
Q12【回答対象：全団体】オープンデータに取り組むにあたっての（未着手の団体の場合、着手することを含む）貴団体の課題や問題点について、最も優先度の高いものを選択してください。,"false",
Q13【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,"false",
Q14【回答対象：全団体】オープンデータに取り組むにあたり、貴団体が必要と考える支援（未着手の団体の場合、着手することを含む）について、最も優先度の高いものを選択してください。,"true",;その他;よく分からない;アイディアソン・ハッカソン等の開催支援;アプリコンテストの開催支援;オープンデータのセミナー・ワークショップ開催支援;オープンデータ作成・公開の作業支援;オープンデータ作成・公開の作業支援ツール提供;システム導入に関するコンサルティング;他の地方公共団体との連携支援;低価格の導入パッケージ提供;先進的な活用事例の公開;利活用計画コンサルティング;手順等をまとめたガイドラインの整備;自治体標準ODSの拡充;関係者の説得支援
Q15【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,"false",
Q16【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標を利用したことがありますか？,"true",;利用したことがある	;利用したことがない
Q17【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,"false",
Q18【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料を利用したことがありますか？,"true",;利用したことがある	;利用したことがない
Q19【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,"false",
Q20【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンを利用したことがありますか？,"true",;利用したことがある	;利用したことがない
Q21【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンについてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,"false",
Q22【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体の制度を利用したことがありますか？,"true",;利用したことがある	;利用したことがない
Q23【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,"false",
Q24【回答対象：全団体】自治体標準オープンデータセットのフォーマットでオープンデータの公開に取り組んでいますか。,"true",;すでに取り組んでいる;まだオープンデータに取組んでいない;よく分からない;推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない;知っているがまだ取り組んでいない;知らない
Q25【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットに準拠して公開しているデータがある場合、該当するデータを全て選択してください。,"false",
Q26【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットのデータモデル型での公開を行っていますか。,"true",;行っていない;行っている
Q27【回答対象：データモデル型での公開を行っている団体のみ】自治体標準オープンデータセット（データモデル型）に準拠して公開しているデータがある場合、該当するデータを全て選択してください。,"false",
Q28【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットを作成するときに、困ったことがあれば選択してください。（該当するものをすべて選択してください）,"false",
Q29【回答対象：すでに自治体標準ODSで公開している団体のみ】上記設問で「その他」を選択した場合、具体的な内容をご記載ください。,"false",
Q30【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ回答】今後、自治体標準オープンデータセットに準拠した公開を予定している、または公開を検討したいデータについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,"false",
Q31【回答対象：上記設問で「公開を検討すべき自治体標準オープンデータセットはない」を選択した場合のみ】その理由を選択してください。（該当するものをすべて選択してください）,"false",
Q32【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,"true",;これ以上公開できる自治体標準ODSが無いため。;データモデル型の理念は理解するが、ExcelベースのIT環境が支配的な自治体の労務環境では非現実的。導入・運用保守のコストが高すぎて検討に値しない;データ利活用の状況が不明なため;・「食品等営業許可・届出一覧」：個人情報を含むため、公開不可と所管課から回答を受けている・「医療機関一覧」、「学校給食献立情報」：区でデータを保有していない・「ボーリング柱状図等」、「都市計画基礎調査情報」、「調達情報」、「標準的なバス情報フォーマット」：区でデータを保有しているか不明・「ボーリング柱状図等」：公開すべき項目のデータが不足しているため、またその不足データの収集が難しいため・「都市計画基礎調査情報」：元データは都から受領しているため;・データモデル型については、提供される資料だけでは理解するのが難しい。・自治体職員だけで整備するのは難しいと感じている。;公開できるものはすでに公開している;公開できるデータを組織内で持ち得ていないため。;公開可能なデータはすでに公開しているため。;市所管事務で保有している同等データは既に公開済であり、自治体標準ODSに合わせる予定はない。;市町村に働きかけてデータを集める立場であるため;既に自治体標準ODSで公開しているため。;現在公開していないデータについてはデータを保有する担当の部署がない（おそらく都道府県が把握しているもの、そもそもデータを集約している部署がない）;現段階で今後公開するオープンデータの内容が決まっていないため。;自治体でデータを持っておらず、公開可否の検討が不可能なため。;自治体標準ODSは自治体で定義する性質のものではないと考えるため。;自治体標準オープンデータセットに関してはすでに公開しているため;自治体標準オープンデータセットを参考にオープンデータの作成は行っているが，推奨される項目数が多いため，すべての項目を埋めたデータを作成することが難しい。;過去に推奨データセットで整備したデータが大半。自治体標準データセットのフォーマットに修正するための手間がかかるため
Q33【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】データを公開することが困難な自治体標準オープンデータセットについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,"false",
Q34【回答対象：上記設問で「データを公開することが困難な自治体標準オープンデータセット」を選択した場合のみ】選択したデータ毎にその理由をご記載ください。,"false",
Q35【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセット以外のデータを公開予定であり、そのデータを自治体標準オープンデータセットへ追加することを希望する場合、その具体的なデータセットをお答えください。,"false",
Q36【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】既存の自治体標準オープンデータセットに、フィールドを追加したいデータセットがあれば選択してください。（該当するものをすべて選択してください）,"true",;AED設置箇所一覧	;データモデル型：ゴミ集積所一覧	;データモデル型：投票所一覧	;データモデル型：観光ポイント	;フィールドを追加したいデータセットはない	;データモデル型：赤ちゃんの駅	;フィールドを追加したいデータセットはない	;公共施設一覧	;指定緊急避難場所一覧	;公共施設一覧	;文化財一覧	;公衆無線LANアクセスポイント一覧	;公衆トイレ一覧	;医療機関一覧	;フィールドを追加したいデータセットはない	;地域・年齢別人口	;子育て施設一覧	;指定緊急避難場所一覧	;公衆無線LANアクセスポイント一覧	;指定緊急避難場所一覧	;子育て施設一覧	;観光施設一覧	;消防水利施設一覧	;ボーリング柱状図等	;食品等営業許可・届出一覧	;学校給食献立情報	;小中学校通学区域情報	;ボーリング柱状図等	;都市計画基礎調査情報	;調達情報	;標準的なバス情報フォーマット	;支援制度（給付金）情報	
Q37【回答対象：上記設問で「フィールドを追加したい自治体標準オープンデータセット」を選択した場合のみ】選択したデータセット毎にその項目をご記載ください。,"true",;「85以上」の男性／女性区分を、「85～89歳」「90～94歳」・・・と、分けていただきたいです。;フィールドの追加とは違いますが、年月日をセットする項目についてYYYY/MM/DD表記も標準として頂けると助かります。;休日開設日日時項目の追加をしてほしい;公衆トイレの一覧;投票所一覧：選挙区分（選挙ごとに異なる投票所を設置する例があるため。）;指定緊急避難場所一覧：空き状況;子育て施設一覧：空き状況;指定緊急避難場所一覧：空き状況（利用時）;子育て施設一覧：空き状況;根拠となる情報が一元管理されておらず、データの収集・加工に時間を要するため																												;;標準セットが変更されると、公開タイミングが異なるデータ間の整合を取るのが難しくなる、また、過去データの価値が下がる。;特になし;特に無し;赤ちゃんの駅について;「授乳施設」有無;「おむつ替え施設」有無;「施設利用開始時間」;「施設利用終了時間」;「施設休館日」
Q38【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセットについて、設問以外のご意見やご要望があればご記入ください。,"false",
Q39【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】オープンデータの公開と合わせてメタデータの公開を行っていますか？,"true",;行っていない;行っている
Q40【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「➁自治体標準オープンデータセット　オープンデータ一覧（改定案）」のフォーマットでオープンデータのメタデータを公開する事は可能でしょうか？,"true",;可能;困難;時間はかかるが可能;非常に困難
Q41【回答対象：上記設問で「困難」または「非常に困難」を選択した場合のみ】その理由をお答えください。（該当するものをすべて選択してください）,"true",;その他;メタデータについて理解できていない;メタデータについて理解できていないメタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	;メタデータについて理解できていないメタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	;メタデータについて理解できていないメタデータの公開にかかる人的リソースが不足している	;メタデータについて理解できていないメタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	;メタデータについて理解できていないメタデータ公開に関する技術的なサポートが不足している	;メタデータについて理解できていないメタデータ公開に関する技術的なサポートが不足している	その他;メタデータの公開にかかるコストが高い	;メタデータの公開にかかるコストが高い	その他;メタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	;メタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	その他;メタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	;メタデータの公開にかかる人的リソースが不足している	;メタデータの公開にかかる人的リソースが不足している	その他;メタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	;メタデータ公開に関する技術的なサポートが不足している	
Q42【回答対象：上記設問で「その他」を選択した場合のみ】その内容を具体的にお答えください。,"true",;「プログラムを作成することで」って誰が？;このような公開形式にした場合、国民のだれがどのように受益し、その受益に対してのコストが見合うのか、判断材料が不足しているため;そもそものオープンデータの取組自体を周知することが優先されるため。;まだオープンデータに取組んでいない;オープンデータカタログサイトはBODIKを利用している。［CKAN」なので、何らかの方法でやれるとは思うが、無償のサイトを利用しているため、職員だけでの対応むずかしい。;データ作成に多大な時間が必要;メタデータの中で個人情報に関わるものが含まれている場合、公開を差し控えたいため。;メタデータは、データ公開時に元課にて入力するため、全項目を漏れなく入力できるかが不明;作成者名の表記は不要と考えるため;各オープンデータのメタデータは公開しているが、本市のデータカタログサイトにあるAPI機能をつかった一覧の作成は専門知識が必要であり、職員では対応が難しい。また、別紙1 「②自治体標準オープンデータセット　オープンデータ一覧（改定案）」のファイルIDについては、本市の管理上想定していないため新たな附番管理が必要となることも時間を要すると思われる。※本市のデータカタログサイトはAPI機能があり自由にその内容を取得可能であるため、貴庁で収集、加工をしていただくことは可能。;各所属が持っているデータを、各所属においてオープンデータとして登録しているため、統一対応することは困難;埼玉県オープンデータポータルサイトにおいて、公開形式が決まっているため。;埼玉県オープンデータポータルサイトにてデータセットを作成すると自動でオープンデータ一覧が更新される仕様です。選択肢がなかったため困難としましたが、県の対応次第なので不明です。;埼玉県オープンデータポータルサイトへのデータ登録に係るガイドラインにおけるメタデータの登録項目に合わせ、メタデータを公開することになるため。;当市のカタログサイトはBODIK ODCS（CKAN）を利用しているが、職員によるメタデータ編集は行っていない。カタログサイト登録時に自動で対象のメタデータが付与されるのであれば対応可能。;掲載データの中に第三者が著作権その他の権利を有している場合があり、どのデータに当該第三者が著作権を有しているかまでを把握するのは困難。;現行メタデータとして使用している項目を変更することが困難;県のオープンデータカタログサイトに基づき公開しているため、サイトの改修が必要であるため。
Q43【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、分かりやすい内容だと思いますか。,"true",;あまりわかりやすくない;どちらとも言えない;わかりにくい;わかりやすい;非常にわかりやすい
Q44【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、現在公表しているデータはどの段階に該当しますか。おおよその感触で構いません。（該当するものをすべて選択してください）,"false",
Q45【回答対象：上記設問で「その他」を選択した場合のみ】オープンデータの機械判読性段階モデル（案）に当てはまらないケースをご記載ください。,"true",;「学校給食献立情報」、「イベント一覧」については、HP上でデータを随時更新しているため、ファイル形式ではなく、HPのURLのリンクを貼っている。;まだオープンデータに取組んでいない;まだオープンデータを公表していない;オープンデータはExcel、CSVで作成している。;古文書等の画像データ;段階0や1に加えた状態ではなく、単独でExcelやCSVファイルを公開している。;画像オープンデータ（メタデータ付きjpg）DTM、赤色立体地図（メタデータ付きtif）ため池情報、町丁界（メタデータ付きシェープファイル）バス情報（メタデータ付きGTFS）
Q46【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、少しづつでも段階を上げていく取組を進めることが可能だと思いますか。,"true",;どちらとも言えない;可能;困難;時間はかかるが可能;非常に困難
Q47【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】機械判読可能なオープンデータを増やす取組を進めるために最も有効だと思う支援を選択してください。,"true",;その他;ガイドライン、マニュアルの提供;トレーニングや研修の提供;他自治体の取り組み事例の共有;必要なソフトウェアやツールの提供
Q48【回答対象：上記設問で「その他」を選択した場合のみ】具体的に必要な支援内容をご記載ください。,"false",
Q49【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、改善すべき点等お気づきの点があればお聞かせください。,"false",
Q50【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】現在の、貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）についてお答えください。,"true",;CC BY 2.1 JP;CC BY 4.0;その他;公共データ利用規約;政府標準利用規約;自団体
Q51【回答対象：公式Webサイトの掲載内容に関する利用規約が政府標準利用規約の自治体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）を政府標準利用規約に変更した理由を教えてください。（該当するものをすべて選択してください）,"true",;その他;データの二次利用を促進するため;データの二次利用を促進するため;専門家からのアドバイスのため;国の事例に倣ったため;専門家からのアドバイスのため;市民や企業が情報を自由に使えるようにするため;市民や企業が情報を自由に使えるようにするため;データの二次利用を促進するため;市民や企業が情報を自由に使えるようにするため;データの二次利用を促進するため;問い合わせを減らし業務の効率化を図るため;市民や企業が情報を自由に使えるようにするため;データの二次利用を促進するため;問い合わせを減らし業務の効率化を図るため;国の事例に倣ったため;市民や企業が情報を自由に使えるようにするため;データの二次利用を促進するため;国の事例に倣ったため;市民や企業が情報を自由に使えるようにするため;データの二次利用を促進するため;専門家からのアドバイスのため;市民や企業が情報を自由に使えるようにするため;問い合わせを減らし業務の効率化を図るため;市民や企業が情報を自由に使えるようにするため;行政の透明性、信頼性の向上のため;市民や企業が情報を自由に使えるようにするため;行政の透明性、信頼性の向上のため;データの二次利用を促進するため;行政の透明性、信頼性の向上のため;行政の透明性、信頼性の向上のため;データの二次利用を促進するため;国の事例に倣ったため;行政の透明性、信頼性の向上のため;国の事例に倣ったため
Q52【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,"true",;オープンデータは、自団体のＨＰではなく、埼玉県が運営する埼玉県オープンデータポータルサイトを利用しているため不明;利用規約は不明だが、ホームページ上（著作権について）において「～出所を明示することにより、引用・転載複製を行うことができます」と記載しているため、その他とした。;利用規約は定めていません。;利用規約は特に設けておらず、公式Webサイト上のデータは利用可能としてある。;市ホームページに公開しているデータは自団体、群馬県オープンデータサイトで公開しているデータはCC BY 4.0;産業企画「JISX8341-3:2010」の等級「AA」に準することを目標とし、ウェブアクセシビリティの推進向上に努めている。;県のオープンデータサイトで公開しているため、県の利用規約に準じている。;著作権については自治体リンクについては原則自由(壬生町公式ウェブサイトへのリンクである旨を明記すること)
Q53【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】自治体の公式Webサイトの著作権(ライセンス)が自団体で困ったことがあれば教えてください。（該当するものをすべて選択してください）,"true",;Webサイトの情報を使って良いか問い合わせが多い;Webサイトの情報を使って良いか問い合わせが多い;利用許諾の手続きに時間がかかる;Webサイトの情報を使って良いか問い合わせが多い;権利が不明確で利用許諾ができなかった;Webサイトの情報を使って良いか問い合わせが多い;権利侵害の指摘を受けたことがある;その他;利用許諾の手続きに時間がかかる;情報公開請求が多い;権利が不明確で利用許諾ができなかった;権利が不明確で利用許諾ができなかった;その他;権利侵害の指摘を受けたことがある;著作権の管理が負担となっている
Q54【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,"false",
Q55【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約を仮に公共データ利用規約に変更しようとした場合、どのような課題があると考えられますか？,"true",;その他;利用規約（ライセンス）を変更するメリットがわからない;利用規約（ライセンス）変更に対する法的な不安や懸念がある;変更のための手続きがわからない;既存の掲載内容（コンテンツ）に対する権利関係の確認が大変である;組織内の合意形成が困難である;関係機関との調整が必要である
Q56【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,"true",;オープンデータは、自団体のＨＰではなく、埼玉県が運営する埼玉県オープンデータポータルサイトを利用しているため不明;上記全てに該当。特に5、6番目の選択肢が大きくあてはまる。;区内部において、現時点でHPの利用規約（ライセンス）変更にかかる検討ができておらず、課題等も把握ができていない状況である。;大きな課題はないと思われる。;当市利用規約は、公共データ利用規約を参考にしているため、変更にかかる課題等は特段ないと考えて居る。;特にない;組織内の合意形成が「困難」とまではいかないが、データを所有する担当課などの関係者に対して変更の趣旨やCC BYなどの用語を理解してもらう作業が発生する。
Q57【回答対象：全団体】アドレス・ベース・レジストリ・ジオコーダー（ABRジオコーダー）をデジタル庁より行政機関向けに無料での提供を予定していますが、オープンデータに位置座標を整備する際をはじめ、どのような業務で利用できそうか、ご意見をお聞かせください。,"false",
Q58【回答対象：全団体】オープンデータの取組全般について、設問以外のご意見やご要望があればご記入ください。,"false",
