地方公共団体コード,地方公共団体コード6桁,地方公共団体名,都道府県名,都道府県名または市町村名,状態,Q1【回答対象：全団体】オープンデータについて、どの程度ご存知ですか。当てはまるものを１つ選択してください。,Q2【回答対象：全団体】オープンデータについて、組織全体での認知度（知っている、知っているが詳細は分からない）はどの程度でしょうか？おおよその判断で構いませんので割合を1つ選択してください。,Q3【回答対象：全団体】貴団体はオープンデータに取り組んでいますか？,Q4【回答対象：まだオープンデータに取り組んでいない団体のみ】オープンデータの公開開始予定時期について、当てはまるものを１つ選択してください。,Q5【回答対象：まだオープンデータに取り組んでいない団体、かつ上記設問で「未計画」を選択した場合のみ】その理由を具体的にお答えください。,Q6【回答対象：全団体】貴団体のオープンデータの更新頻度について、当てはまるものを１つ選択してください。,Q7【回答対象：全団体】オープンデータとして公開されているファイル数について、当てはまるものを１つ選択してください。,Q8【回答対象：全団体】オープンデータ作成の現状として当てはまるものを選択してください。（該当するものをすべて選択してください）,Q9【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q10【回答対象：全団体】貴団体における過去4年間（令和3年度以降）に生まれたオープンデータ利活用事例において、当てはまるものを全て選択してください。,Q11【回答対象：上記設問で「その他、オープンデータを活用した事例がある」を選択した場合のみ】その具体的な内容をお答えください。事例を掲載したURL等でも構いません。,Q12【回答対象：全団体】オープンデータに取り組むにあたっての（未着手の団体の場合、着手することを含む）貴団体の課題や問題点について、最も優先度の高いものを選択してください。,Q13【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q14【回答対象：全団体】オープンデータに取り組むにあたり、貴団体が必要と考える支援（未着手の団体の場合、着手することを含む）について、最も優先度の高いものを選択してください。,Q15【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q16【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標を利用したことがありますか？,Q17【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q18【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料を利用したことがありますか？,Q19【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q20【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンを利用したことがありますか？,Q21【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンについてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q22【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体の制度を利用したことがありますか？,Q23【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q24【回答対象：全団体】自治体標準オープンデータセットのフォーマットでオープンデータの公開に取り組んでいますか。,Q25【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットに準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q26【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットのデータモデル型での公開を行っていますか。,Q27【回答対象：データモデル型での公開を行っている団体のみ】自治体標準オープンデータセット（データモデル型）に準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q28【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットを作成するときに、困ったことがあれば選択してください。（該当するものをすべて選択してください）,Q29【回答対象：すでに自治体標準ODSで公開している団体のみ】上記設問で「その他」を選択した場合、具体的な内容をご記載ください。,Q30【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ回答】今後、自治体標準オープンデータセットに準拠した公開を予定している、または公開を検討したいデータについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q31【回答対象：上記設問で「公開を検討すべき自治体標準オープンデータセットはない」を選択した場合のみ】その理由を選択してください。（該当するものをすべて選択してください）,Q32【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q33【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】データを公開することが困難な自治体標準オープンデータセットについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q34【回答対象：上記設問で「データを公開することが困難な自治体標準オープンデータセット」を選択した場合のみ】選択したデータ毎にその理由をご記載ください。,Q35【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセット以外のデータを公開予定であり、そのデータを自治体標準オープンデータセットへ追加することを希望する場合、その具体的なデータセットをお答えください。,Q36【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】既存の自治体標準オープンデータセットに、フィールドを追加したいデータセットがあれば選択してください。（該当するものをすべて選択してください）,Q37【回答対象：上記設問で「フィールドを追加したい自治体標準オープンデータセット」を選択した場合のみ】選択したデータセット毎にその項目をご記載ください。,Q38【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセットについて、設問以外のご意見やご要望があればご記入ください。,Q39【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】オープンデータの公開と合わせてメタデータの公開を行っていますか？,Q40【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「➁自治体標準オープンデータセット　オープンデータ一覧（改定案）」のフォーマットでオープンデータのメタデータを公開する事は可能でしょうか？,Q41【回答対象：上記設問で「困難」または「非常に困難」を選択した場合のみ】その理由をお答えください。（該当するものをすべて選択してください）,Q42【回答対象：上記設問で「その他」を選択した場合のみ】その内容を具体的にお答えください。,Q43【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、分かりやすい内容だと思いますか。,Q44【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、現在公表しているデータはどの段階に該当しますか。おおよその感触で構いません。（該当するものをすべて選択してください）,Q45【回答対象：上記設問で「その他」を選択した場合のみ】オープンデータの機械判読性段階モデル（案）に当てはまらないケースをご記載ください。,Q46【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、少しづつでも段階を上げていく取組を進めることが可能だと思いますか。,Q47【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】機械判読可能なオープンデータを増やす取組を進めるために最も有効だと思う支援を選択してください。,Q48【回答対象：上記設問で「その他」を選択した場合のみ】具体的に必要な支援内容をご記載ください。,Q49【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、改善すべき点等お気づきの点があればお聞かせください。,Q50【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】現在の、貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）についてお答えください。,Q51【回答対象：公式Webサイトの掲載内容に関する利用規約が政府標準利用規約の自治体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）を政府標準利用規約に変更した理由を教えてください。（該当するものをすべて選択してください）,Q52【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q53【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】自治体の公式Webサイトの著作権(ライセンス)が自団体で困ったことがあれば教えてください。（該当するものをすべて選択してください）,Q54【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q55【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約を仮に公共データ利用規約に変更しようとした場合、どのような課題があると考えられますか？,Q56【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q57【回答対象：全団体】アドレス・ベース・レジストリ・ジオコーダー（ABRジオコーダー）をデジタル庁より行政機関向けに無料での提供を予定していますが、オープンデータに位置座標を整備する際をはじめ、どのような業務で利用できそうか、ご意見をお聞かせください。,Q58【回答対象：全団体】オープンデータの取組全般について、設問以外のご意見やご要望があればご記入ください。
9215,92151,栃木県 那須烏山市,栃木県,那須烏山市,提出済,良く知っている,50%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,101～500,システムから出力したファイルを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,知らない,,,,,,,,,,,,,,,行っていない,時間はかかるが可能,,,どちらとも言えない,1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,CC BY 4.0,,,,,利用規約（ライセンス）変更に対する法的な不安や懸念がある,,オープンデータにある地区別人口とバス路線の図を重ね合わせることで、交通空白地域を把握する。,
9216,92169,栃木県 下野市,栃木県,下野市,提出済,知っているが詳細は分からない,よく分からない,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,11～50,システムから出力したファイルを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータを担当する人的リソースがない,,先進的な活用事例の公開,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,"公共施設一覧	;文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	",,,作成が困難なデータセットはない,,,,,,,,,,,,,,,,,,,,,,,,,
9301,93017,栃木県 上三川町,栃木県,上三川町,提出済,知っているが詳細は分からない,10%未満,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,10以下,既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい,,オープンデータを活用した事例はまだない,,自団体にオープンデータの知識がある職員がいない,,オープンデータ作成・公開の作業支援,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9342,93424,栃木県 益子町,栃木県,益子町,提出済,知っているが詳細は分からない,よく分からない,取組んでいる,,,ほとんど更新していない,51～100,その他,JPEGデータをHPに掲載。,その他、オープンデータを活用した事例がある,民間会社が作成したデータに活用の事例あり。,オープンデータの効果・メリット・ニーズが不明確,,よく分からない,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9343,93432,栃木県 茂木町,栃木県,茂木町,提出済,知っているが詳細は分からない,30%,取組んでいる,,"・ニーズが不明確	・オープンデータを担当する人的リソースがない・予算がない・自団体にオープンデータの知識がある職員がいない・オープンデータにどう取組んで良いか分からない・オープンデータを開始した後の業務プロセスが不明・オープンデータとして出すデータの判断ができない・機械判読に適したデータを用意できない",ほとんど更新していない,10以下,その他,国土地理院に手動で作成した指定緊急避難所情報を公開し、緊急避難所に係るオープンデータを公開している,災害時や緊急事態といった事象におけるオープンデータ利活用事例がある,指定緊急避難場所情報,予算がない,,低価格の導入パッケージ提供,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っていない,困難,"メタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	",,あまりわかりやすくない,,,,ガイドライン、マニュアルの提供,,段階３、４のデータ保存形式等の具体例が示されているとよい,公共データ利用規約,,,,,,,全国共通のプラットフォームの利用による大規模災害等緊急時の自治体間等の情報連携の迅速化,
9344,93441,栃木県 市貝町,栃木県,市貝町,提出済,知っているが詳細は分からない,10%未満,取組んでいない,未計画,人員、人材不足,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータを担当する人的リソースがない,,手順等をまとめたガイドラインの整備,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9345,93459,栃木県 芳賀町,栃木県,芳賀町,提出済,知っているが詳細は分からない,10%未満,取組んでいない,未計画,,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータを担当する人的リソースがない,,オープンデータ作成・公開の作業支援,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9361,93611,栃木県 壬生町,栃木県,壬生町,提出済,知っているが詳細は分からない,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,10以下,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある;災害時や緊急事態といった事象におけるオープンデータ利活用事例がある,,オープンデータを担当する人的リソースがない,,オープンデータのセミナー・ワークショップ開催支援,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っていない,非常に困難,"メタデータについて理解できていないメタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	",,わかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,困難,必要なソフトウェアやツールの提供,,,その他,専門家からのアドバイスのため,著作権については自治体リンクについては原則自由(壬生町公式ウェブサイトへのリンクである旨を明記すること),,,利用規約（ライセンス）を変更するメリットがわからない,,ABRジオコーダーについては理解しましたが、どのような業務で利用できるか見当がつきません。現時点ではオープンデータ作成の際、庁内統合型GISよりデータを出力しており、緯度経度も出力しています。,特にありません。
9364,93645,栃木県 野木町,栃木県,野木町,提出済,良く知っている,10%未満,取組んでいる,,,ほとんど更新していない,10以下,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータを担当する人的リソースがない,,オープンデータ作成・公開の作業支援,,,,,,,,,,すでに取り組んでいる,"公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	",行っていない,,,,,,,,,,,,,行っていない,非常に困難,"メタデータの公開にかかる人的リソースが不足している	",,わかりにくい,2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）,,非常に困難,ガイドライン、マニュアルの提供,,,自団体,,,その他,特になし,利用規約（ライセンス）変更に対する法的な不安や懸念がある,,,
9384,93840,栃木県 塩谷町,栃木県,塩谷町,提出済,良く知っている,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,10以下,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータにどう取組んで良いか分からない,,オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9386,93866,栃木県 高根沢町,栃木県,高根沢町,提出済,良く知っている,80%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,101～500,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータにどう取組んで良いか分からない,,手順等をまとめたガイドラインの整備,,,,,,,,,,知っているがまだ取り組んでいない,"医療機関一覧	",,,,,,,,"イベント一覧	",,,,,,,,,,,,,,,,,,,,,,,,,
9407,94072,栃木県 那須町,栃木県,那須町,提出済,良く知っている,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,他の地方公共団体との連携支援,,利用したことがない,,"利用したことがある	",,利用したことがない,,利用したことがない,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っている,困難,"メタデータの公開にかかる人的リソースが不足している	",,わかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,CC BY 2.1 JP,,,,,関係機関との調整が必要である,,GISとの連携,
9411,94111,栃木県 那珂川町,栃木県,那珂川町,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,100005,群馬県,群馬県,群馬県,提出済,良く知っている,50%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,101～500,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある,,オープンデータの効果・メリット・ニーズが不明確,,手順等をまとめたガイドラインの整備,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201,102016,群馬県 前橋市,群馬県,前橋市,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202,102024,群馬県 高崎市,群馬県,高崎市,提出済,良く知っている,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,手順等をまとめたガイドラインの整備,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,被災箇所の位置座標を住所に変換する業務,特になし
10203,102032,群馬県 桐生市,群馬県,桐生市,提出済,知っているが詳細は分からない,80%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,51～100,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,よく分からない,,統括する部門がない,,先進的な活用事例の公開,,,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204,102041,群馬県 伊勢崎市,群馬県,伊勢崎市,提出済,良く知っている,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,オープンデータ作成・公開の作業支援,,,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205,102059,群馬県 太田市,群馬県,太田市,提出済,知っているが詳細は分からない,10%未満,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータの効果・メリット・ニーズが不明確,,よく分からない,,利用したことがない,,"利用したことがある	",オープンデータ導入時に職員向けの研修資料として使用。資料作成の手間が省けたが、オープンデータの必要性を伝えられたかは不明。,,,,,すでに取り組んでいる,"文化財一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;標準的なバス情報フォーマット	",行っていない,,"データ形式が異なるため変換に時間がかかる	;元データの項目が不足しているため、必要なデータの収集が難しい;自治体標準ODS作成のガイドラインが明確でない	;自治体標準ODSを作成するツールやソフトウェアの使い方がわからない	",,"公開を検討すべき自治体標準オープンデータセットはない	","自治体標準ODSを公開する必要性を感じていない;自治体標準ODSの仕様が不明確	;データを作成するための人的リソースが不足している	;データを作成するための技術的サポートが不足している",,"公衆トイレ一覧	;消防水利施設一覧	",公衆トイレ：統一的なデータがない;消防水利：存在するデータが限定的で全てを網羅できない,なし,"フィールドを追加したいデータセットはない	",,,,,,,,,,,,,,,,,,,,,,
10206,102067,群馬県 沼田市,群馬県,沼田市,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207,102075,群馬県 館林市,群馬県,館林市,提出済,良く知っている,30%,取組んでいる,,,よく分からない,よく分からない,その他,県が作成したオープンデータサイトの情報を活用している。,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,関係者の説得支援,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,よく分からない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,特になし,特になし
10208,102083,群馬県 渋川市,群馬県,渋川市,提出済,知っているが詳細は分からない,50%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している,,民間事業者と連携したオープンデータ活用事例がある,,オープンデータにどう取組んで良いか分からない,,先進的な活用事例の公開,,,,,,,,,,よく分からない,,,,,,,,,,,,,,,行っている,,,,,,,,,,,,,,,,,,,
10209,102091,群馬県 藤岡市,群馬県,藤岡市,提出済,良く知っている,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,51～100,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,行っていない,時間はかかるが可能,,,どちらとも言えない,2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）,,どちらとも言えない,必要なソフトウェアやツールの提供,,,自団体,,,,,利用規約（ライセンス）を変更するメリットがわからない,,所有財産の整備,
10210,102105,群馬県 富岡市,群馬県,富岡市,提出済,良く知っている,よく分からない,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,10以下,システムから出力したファイルを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,システム導入に関するコンサルティング,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っていない,困難,"メタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	",,あまりわかりやすくない,2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,その他,,市ホームページに公開しているデータは自団体、群馬県オープンデータサイトで公開しているデータはCC BY 4.0,,,利用規約（ライセンス）変更に対する法的な不安や懸念がある,,,
10211,102113,群馬県 安中市,群馬県,安中市,提出済,良く知っている,よく分からない,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,11～50,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータにどう取組んで良いか分からない,,手順等をまとめたガイドラインの整備,,,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,政府標準利用規約,国の事例に倣ったため,,,,利用規約（ライセンス）を変更するメリットがわからない,,,
10212,102121,群馬県 みどり市,群馬県,みどり市,提出済,知っているが詳細は分からない,よく分からない,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,よく分からない,その他,県がまとめたデータを公開している,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,よく分からない,,,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10344,103446,群馬県 榛東村,群馬県,榛東村,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10345,103454,群馬県 吉岡町,群馬県,吉岡町,未確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10366,103667,群馬県 上野村,群馬県,上野村,提出済,知らない,10%未満,取組んでいない,未計画,公印も電子化できていないなど他に優先するべきことすらできていないことに加え、村の条例等条件が整っていないため。,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータの効果・メリット・ニーズが不明確,,利活用計画コンサルティング,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10367,103675,群馬県 神流町,群馬県,神流町,未確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382,103829,群馬県 下仁田町,群馬県,下仁田町,提出済,良く知っている,10%未満,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,10以下,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,よく分からない,,オープンデータの効果・メリット・ニーズが不明確,,よく分からない,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10383,103837,群馬県 南牧村,群馬県,南牧村,提出済,知っているが詳細は分からない,30%,取組んでいる,,,ほとんど更新していない,10以下,よく分からない,,よく分からない,,オープンデータを担当する人的リソースがない,,低価格の導入パッケージ提供,,利用したことがない,,,,,,,,よく分からない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10384,103845,群馬県 甘楽町,群馬県,甘楽町,提出済,名前は知っている,10%未満,取組んでいない,未計画,・取り組み方がわからない・現在、外部人材を活用しDX推進計画を策定しており、その中で方針を決定していく,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,自団体にオープンデータの知識がある職員がいない,,システム導入に関するコンサルティング,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,,有事の際や道路の破損などの報告の際、正確な位置情報の把握に期待できる,なし
